DATE,TIME,O,H,L,C,V
2009.08.10,00:00,1.41838,1.43278,1.40874,1.4203,250663
2009.08.17,00:00,1.4203,1.43764,1.40456,1.4326,245635
2009.08.24,00:00,1.4326,1.44066,1.42072,1.43029,230231
2009.08.31,00:00,1.43029,1.43782,1.41778,1.42907,233816
2009.09.07,00:00,1.42907,1.46352,1.42907,1.45709,238029
2009.09.14,00:00,1.45709,1.47672,1.45162,1.47111,254376
2009.09.21,00:00,1.47111,1.48446,1.4612,1.46893,270402
2009.09.28,00:00,1.46893,1.47206,1.44808,1.45763,333231
2009.10.05,00:00,1.45763,1.48178,1.45763,1.47307,294083
2009.10.12,00:00,1.47307,1.49678,1.46768,1.49073,273939
2009.10.19,00:00,1.49073,1.50596,1.48285,1.50082,277504
2009.10.26,00:00,1.50082,1.50634,1.46834,1.47155,298702
2009.11.02,00:00,1.47155,1.4918,1.46268,1.48482,285929
2009.11.09,00:00,1.48482,1.50484,1.48214,1.49026,219403
2009.11.16,00:00,1.49026,1.50154,1.48014,1.48633,227386
2009.11.23,00:00,1.48633,1.5144,1.48286,1.49896,241538
2009.11.30,00:00,1.49896,1.51412,1.48218,1.48558,221333
2009.12.07,00:00,1.48558,1.49048,1.4586,1.46165,245584
2009.12.14,00:00,1.46165,1.46854,1.42612,1.43381,230967
2009.12.21,00:00,1.43381,1.44184,1.42173,1.4388,109997
2009.12.28,00:00,1.4388,1.44582,1.4274,1.4312,97192
2010.01.04,00:00,1.4312,1.44839,1.42576,1.44098,221879
2010.01.11,00:00,1.44098,1.45792,1.43368,1.43861,239695
2010.01.18,00:00,1.43861,1.44142,1.40292,1.41357,240169
2010.01.25,00:00,1.41357,1.41942,1.38623,1.38624,257275
2010.02.01,00:00,1.38624,1.40264,1.35858,1.3679,255955
2010.02.08,00:00,1.3679,1.38392,1.35318,1.36333,291059
2010.02.15,00:00,1.36333,1.37884,1.34438,1.3612,231545
2010.02.22,00:00,1.3612,1.3692,1.34522,1.36288,259715
2010.03.01,00:00,1.36288,1.37362,1.34346,1.36255,269485
2010.03.08,00:00,1.36255,1.37962,1.35378,1.37689,206501
2010.03.15,00:00,1.37689,1.38182,1.3503,1.35293,199201
2010.03.22,00:00,1.35293,1.35692,1.32666,1.34099,234208
